Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecast,GBP,,,,,,,BRL,,,,,,,,,,,GBP,,,,,,,BRL,,,,,,,,Net Worth,Investment,Interest,,,,,,,,,,,,,,,,,,,
,Month/Year,Target,Investment,Interest,MoM Δ,MoM Δ %,APY,,Target BRL,Investment,Interest,MoM Δ,MoM Δ %,APY,Positive Base BRL,Projected BRL,Base Interest %,Interest %,,Actuals,Δ to Target,% Δ to Target,MoM Δ,MoM Δ %,APY,,Actuals,Δ to Target,% Δ to Target,MoM Δ,MoM Δ %,APY,,5Y Total," £1,006,080 "," £279,273 "," £726,807 ",,,,,,,,,,,,,,,,,,,
,Jan/2022," £161,273 ",,, £-   ,0.00%,0.00%,,"R$1,042,039","R$12,000",,,,,"R$1,202,330","R$1,202,330",1.00%,2.60%,," £159,538 ","-£1,735 ",-1.1%, £-   ,0.0%,0.00%,," R$1,202,330 ", R$-   ,0.0%, R$-   ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Feb/2022," £167,467 "," £2,000 "," £4,193 "," £6,193 ",3.84%,3.84%,,"R$1,081,132","R$12,000","R$27,093","R$39,093",3.75%,3.75%,"R$1,226,353","R$1,357,901",1.00%,2.60%,," £188,200 "," £20,734 ",12.4%," £28,662 ",18.0%,17.97%,," R$1,357,901 "," R$131,547 ",10.7%," R$155,571 ",12.9%,12.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Mar/2022," £173,821 "," £2,000 "," £4,354 "," £6,354 ",3.79%,7.78%,,"R$1,121,241","R$12,000","R$28,109","R$40,109",3.71%,7.60%,"R$1,250,617","R$1,387,801",1.00%,2.60%,," £209,187 "," £35,366 ",20.3%," £20,987 ",11.2%,31.12%,," R$1,387,801 "," R$137,184 ",11.0%," R$29,900 ",2.2%,15.4%,,,,,,,,,,,,,,,,,,,,,,,,
,Apr/2022," £180,340 "," £2,000 "," £4,519 "," £6,519 ",3.75%,11.82%,,"R$1,162,394","R$12,000","R$29,152","R$41,152",3.67%,11.55%,"R$1,275,123","R$1,423,337",1.00%,2.60%,," £227,032 "," £46,692 ",25.9%," £17,845 ",8.5%,42.31%,," R$1,423,337 "," R$148,213 ",11.6%," R$35,536 ",2.6%,18.4%,,,,,,,,,,,,,,,,,,,,,,,,
,May/2022," £187,029 "," £2,000 "," £4,689 "," £6,689 ",3.71%,15.97%,,"R$1,204,616","R$12,000","R$30,222","R$42,222",3.63%,15.60%,"R$1,299,874","R$1,296,824",1.00%,2.60%,," £211,179 "," £24,150 ",12.9%,"-£15,853 ",-7.0%,32.37%,," R$1,296,824 "," R$(3,050)",-0.2%," R$(126,512)",-8.9%,7.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Jun/2022," £193,892 "," £2,000 "," £4,863 "," £6,863 ",3.67%,20.23%,,"R$1,247,936","R$12,000","R$31,320","R$43,320",3.60%,19.76%,"R$1,324,873","R$1,322,752",1.00%,2.60%,," £205,935 "," £12,043 ",6.2%,"-£5,244 ",-2.5%,29.08%,," R$1,322,752 "," R$(2,121)",-0.2%," R$25,928 ",2.0%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Jul/2022," £200,933 "," £2,000 "," £5,041 "," £7,041 ",3.63%,24.59%,,"R$1,292,382","R$12,000","R$32,446","R$44,446",3.56%,24.02%,"R$1,350,122","R$1,323,032",1.00%,2.60%,," £211,935 "," £11,002 ",5.5%," £6,000 ",2.9%,32.84%,," R$1,323,032 "," R$(27,090)",-2.0%, R$280 ,0.0%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Aug/2022," £208,157 "," £2,000 "," £5,224 "," £7,224 ",3.60%,29.07%,,"R$1,337,984","R$12,000","R$33,602","R$45,602",3.53%,28.40%,"R$1,375,623","R$1,332,001",1.00%,2.60%,," £222,127 "," £13,970 ",6.7%," £10,192 ",4.8%,39.23%,," R$1,332,001 "," R$(43,623)",-3.2%," R$8,968 ",0.7%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Sep/2022," £215,569 "," £2,000 "," £5,412 "," £7,412 ",3.56%,33.67%,,"R$1,384,772","R$12,000","R$34,788","R$46,788",3.50%,32.89%,"R$1,401,379","R$1,349,708",1.00%,2.60%,," £223,264 "," £7,695 ",3.6%," £1,137 ",0.5%,39.94%,," R$1,349,708 "," R$(51,671)",-3.7%," R$17,707 ",1.3%,12.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Oct/2022," £223,174 "," £2,000 "," £5,605 "," £7,605 ",3.53%,38.38%,,"R$1,432,776","R$12,000","R$36,004","R$48,004",3.47%,37.50%,"R$1,427,393","R$1,360,402",1.00%,2.60%,," £226,762 "," £3,588 ",1.6%," £3,498 ",1.6%,42.14%,," R$1,360,402 "," R$(66,991)",-4.7%," R$10,694 ",0.8%,13.1%,,,,,,,,,,,,,,,,,,,,,,,,
,Nov/2022," £230,976 "," £2,000 "," £5,803 "," £7,803 ",3.50%,43.22%,,"R$1,482,028","R$12,000","R$37,252","R$49,252",3.44%,42.22%,"R$1,453,667","R$1,389,174",1.00%,2.60%,," £214,764 ","-£16,212 ",-7.0%,"-£11,998 ",-5.3%,34.62%,," R$1,389,174 "," R$(64,493)",-4.4%," R$28,772 ",2.1%,15.5%,,,,,,,,,,,,,,,,,,,,,,,,
,Dec/2022," £238,982 "," £2,000 "," £6,005 "," £8,005 ",3.47%,48.18%,,"R$1,532,561","R$12,000","R$38,533","R$50,533",3.41%,47.07%,"R$1,480,204","R$1,434,757",1.00%,2.60%,," £222,144 ","-£16,837 ",-7.0%," £7,380 ",3.4%,39.24%,," R$1,434,757 "," R$(45,447)",-3.1%," R$45,582 ",3.3%,19.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Jan/2023," £247,195 "," £2,000 "," £6,214 "," £8,214 ",3.44%,0.00%,,"R$1,584,407","R$12,000","R$39,847","R$51,847",3.38%,0.00%,"R$1,507,006","R$1,376,061",1.00%,2.60%,," £220,336 ","-£26,859 ",-10.9%,"-£1,808 ",-0.8%,0.00%,," R$1,376,061 "," R$(130,945)",-8.7%," R$(58,696)",-4.1%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Feb/2023," £255,622 "," £2,000 "," £6,427 "," £8,427 ",3.41%,3.41%,,"R$1,637,602","R$12,000","R$41,195","R$53,195",3.36%,3.36%,"R$1,534,076","R$1,402,290",1.00%,2.60%,," £222,693 ","-£57,575 ",-22.5%," £1,814 ",0.9%,0.92%,," R$1,402,290 "," R$(131,786)",-8.6%," R$26,229 ",1.9%,1.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Mar/2023," £264,269 "," £2,000 "," £6,646 "," £8,646 ",3.38%,6.91%,,"R$1,692,180","R$12,000","R$42,578","R$54,578",3.33%,6.80%,"R$1,561,417","R$1,414,469",1.00%,2.60%,," £225,622 ","-£63,835 ",-24.2%," £2,386 ",1.2%,2.14%,," R$1,414,469 "," R$(146,947)",-9.4%," R$12,180 ",0.9%,2.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Apr/2023," £273,140 "," £2,000 "," £6,871 "," £8,871 ",3.36%,10.50%,,"R$1,748,176","R$12,000","R$43,997","R$55,997",3.31%,10.34%,"R$1,589,031","R$1,441,815",1.00%,2.60%,," £230,715 ","-£68,038 ",-24.9%," £4,667 ",2.3%,4.52%,," R$1,441,815 "," R$(147,216)",-9.3%," R$27,346 ",1.9%,4.8%,,,,,,,,,,,,,,,,,,,,,,,,
,May/2023," £282,241 "," £2,000 "," £7,102 "," £9,102 ",3.33%,14.18%,,"R$1,805,629","R$12,000","R$45,453","R$57,453",3.29%,13.96%,"R$1,616,921","R$1,469,394",1.00%,2.60%,," £233,052 ","-£75,535 ",-26.8%," £1,605 ",0.8%,5.34%,," R$1,469,394 "," R$(147,527)",-9.1%," R$27,579 ",1.9%,6.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Jun/2023," £291,580 "," £2,000 "," £7,338 "," £9,338 ",3.31%,17.96%,,"R$1,864,575","R$12,000","R$46,946","R$58,946",3.26%,17.68%,"R$1,645,090","R$1,491,460",1.00%,2.60%,," £243,129 ","-£48,451 ",-16.6%," £10,076 ",4.3%,10.34%,," R$1,491,460 "," R$(153,630)",-9.3%," R$22,067 ",1.5%,8.4%,,,,,,,,,,,,,,,,,,,,,,,,
,Jul/2023," £301,161 "," £2,000 "," £7,581 "," £9,581 ",3.29%,21.83%,,"R$1,925,054","R$12,000","R$48,479","R$60,479",3.24%,21.50%,"R$1,673,541","R$1,513,897",1.00%,2.60%,," £248,761 ","-£79,833 ",-26.5%," £4,997 ",2.3%,12.79%,," R$1,513,897 "," R$(159,645)",-9.5%," R$22,436 ",1.5%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Aug/2023," £310,991 "," £2,000 "," £7,830 "," £9,830 ",3.26%,25.81%,,"R$1,987,106","R$12,000","R$50,051","R$62,051",3.22%,25.42%,"R$1,702,277","R$1,531,018",1.00%,2.60%,," £247,005 ","-£92,180 ",-29.6%,"-£2,517 ",-1.1%,11.51%,," R$1,531,018 "," R$(171,258)",-10.1%," R$17,122 ",1.1%,11.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Sep/2023," £321,077 "," £2,000 "," £8,086 "," £10,086 ",3.24%,29.89%,,"R$2,050,770","R$12,000","R$51,665","R$63,665",3.20%,29.43%,"R$1,731,299","R$1,545,484",1.00%,2.60%,," £250,535 ","-£96,947 ",-30.2%," £5,318 ",2.4%,14.22%,," R$1,545,484 "," R$(185,815)",-10.7%," R$14,466 ",0.9%,12.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Oct/2023," £331,424 "," £2,000 "," £8,348 "," £10,348 ",3.22%,34.07%,,"R$2,116,090","R$12,000","R$53,320","R$65,320",3.19%,33.56%,"R$1,760,612","R$1,562,065",1.00%,2.60%,," £253,697 ","-£107,152 ",-32.3%, £144 ,0.1%,14.29%,," R$1,562,065 "," R$(198,547)",-11.3%," R$16,581 ",1.1%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,
,Nov/2023," £342,042 "," £2,000 "," £8,617 "," £10,617 ",3.20%,38.37%,,"R$2,183,109","R$12,000","R$55,018","R$67,018",3.17%,37.79%,"R$1,790,218","R$1,593,184",1.00%,2.60%,," £255,712 ","-£86,329 ",-25.2%," £2,015 ",0.8%,16.06%,," R$1,593,184 "," R$(197,035)",-11.0%," R$31,119 ",2.0%,15.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Dec/2023," £352,935 "," £2,000 "," £8,893 "," £10,893 ",3.18%,42.78%,,"R$2,251,870","R$12,000","R$56,761","R$68,761",3.15%,42.13%,"R$1,820,121","R$1,615,901",1.00%,2.60%,," £261,187 ","-£122,293 ",-34.7%," £4,971 ",2.2%,17.53%,," R$1,615,901 "," R$(204,220)",-11.2%," R$22,717 ",1.4%,17.4%,,,,,,,,,,,,,,,,,,,,,,,,
,Jan/2024," £364,111 "," £2,000 "," £9,176 "," £11,176 ",3.17%,0.00%,,"R$2,322,418","R$12,000","R$58,549","R$70,549",3.13%,0.00%,"R$1,850,322","R$1,636,262",1.00%,2.60%,," £259,812 ","-£104,299 ",-28.6%,-£421 ,-0.2%,0.00%,," R$1,636,262 "," R$(214,060)",-11.6%," R$20,361 ",1.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Feb/2024," £375,578 "," £2,000 "," £9,467 "," £11,467 ",3.15%,3.15%,,"R$2,394,801","R$12,000","R$60,383","R$72,383",3.12%,3.12%,"R$1,880,825","R$1,664,317",1.00%,2.60%,," £265,061 ","-£110,517 ",-29.4%," £5,249 ",2.0%,2.02%,," R$1,664,317 "," R$(216,508)",-11.5%," R$28,055 ",1.7%,1.7%,,,,,,,,,,,,,,,,,,,,,,,,
,Mar/2024," £387,343 "," £2,000 "," £9,765 "," £11,765 ",3.13%,6.38%,,"R$2,469,066","R$12,000","R$62,265","R$74,265",3.10%,6.31%,"R$1,911,633","R$1,744,785",1.00%,2.60%,," £277,123 ","-£110,220 ",-28.5%," £12,062 ",4.6%,6.66%,," R$1,744,785 "," R$(166,848)",-8.7%," R$80,468 ",4.8%,6.6%,,,,,,,,,,,,,,,,,,,,,,,,
,Apr/2024," £399,414 "," £2,000 "," £10,071 "," £12,071 ",3.12%,9.70%,,"R$2,545,262","R$12,000","R$64,196","R$76,196",3.09%,9.60%,"R$1,942,750","R$1,785,526",1.00%,2.60%,," £275,342 ","-£124,072 ",-31.1%,"-£1,781 ",-0.6%,5.98%,," R$1,785,526 "," R$(157,224)",-8.1%," R$40,741 ",2.3%,9.1%,,,,,,,,,,,,,,,,,,,,,,,,
,May/2024," £411,798 "," £2,000 "," £10,385 "," £12,385 ",3.10%,13.10%,,"R$2,623,438","R$12,000","R$66,177","R$78,177",3.07%,12.96%,"R$1,974,177","R$1,834,414",1.00%,2.60%,," £275,217 ","-£136,582 ",-33.2%,-£125 ,0.0%,5.93%,," R$1,834,414 "," R$(139,763)",-7.1%," R$48,889 ",2.7%,12.1%,,,,,,,,,,,,,,,,,,,,,,,,
,Jun/2024," £424,505 "," £2,000 "," £10,707 "," £12,707 ",3.09%,16.59%,,"R$2,703,648","R$12,000","R$68,209","R$80,209",3.06%,16.42%,"R$2,005,919","R$1,885,855",1.00%,2.60%,," £271,025 ","-£153,480 ",-36.2%,"-£4,191 ",-1.5%,4.32%,," R$1,885,855 "," R$(120,064)",-6.0%," R$51,441 ",2.8%,15.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Jul/2024," £437,542 "," £2,000 "," £11,037 "," £13,037 ",3.07%,20.17%,,"R$2,785,943","R$12,000","R$70,295","R$82,295",3.04%,19.96%,"R$2,037,978","R$1,930,281",1.00%,2.60%,," £267,195 ","-£170,347 ",-38.9%,"-£3,830 ",-1.4%,2.84%,," R$1,930,281 "," R$(107,697)",-5.3%," R$44,426 ",2.4%,18.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Aug/2024," £450,918 "," £2,000 "," £11,376 "," £13,376 ",3.06%,23.84%,,"R$2,870,377","R$12,000","R$72,435","R$84,435",3.03%,23.59%,"R$2,070,358","R$1,946,792",1.00%,2.60%,," £262,274 ","-£188,645 ",-41.8%,"-£4,922 ",-1.8%,0.95%,," R$1,946,792 "," R$(123,566)",-6.0%," R$16,511 ",0.9%,19.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Sep/2024," £464,642 "," £2,000 "," £11,724 "," £13,724 ",3.04%,27.61%,,"R$2,957,007","R$12,000","R$74,630","R$86,630",3.02%,27.32%,"R$2,103,061","R$1,955,076",1.00%,2.60%,," £271,191 ","-£193,452 ",-41.6%," £8,917 ",3.4%,4.38%,," R$1,955,076 "," R$(147,985)",-7.0%," R$8,284 ",0.4%,19.5%,,,,,,,,,,,,,,,,,,,,,,,,
,Oct/2024," £478,723 "," £2,000 "," £12,081 "," £14,081 ",3.03%,31.48%,,"R$3,045,889","R$12,000","R$76,882","R$88,882",3.01%,31.15%,"R$2,136,092","R$2,112,909",1.00%,2.60%,," £282,511 ","-£196,212 ",-41.0%," £11,320 ",4.2%,8.74%,," R$2,112,909 "," R$(23,183)",-1.1%," R$157,833 ",8.1%,29.1%,,,,,,,,,,,,,,,,,,,,,,,,
,Nov/2024," £493,170 "," £2,000 "," £12,447 "," £14,447 ",3.02%,35.44%,,"R$3,137,082","R$12,000","R$79,193","R$91,193",2.99%,35.08%,"R$2,169,453","R$2,255,170",1.00%,2.60%,," £294,315 ","-£198,855 ",-40.3%," £11,804 ",4.2%,13.28%,," R$2,255,170 "," R$85,717 ",4.0%," R$142,260 ",6.7%,37.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Dec/2024," £507,992 "," £2,000 "," £12,822 "," £14,822 ",3.01%,39.52%,,"R$3,230,646","R$12,000","R$81,564","R$93,564",2.98%,39.11%,"R$2,203,148","R$2,240,219",1.00%,2.60%,," £293,979 ","-£214,013 ",-42.1%,-£336 ,-0.1%,13.15%,," R$2,240,219 "," R$37,071 ",1.7%," R$(14,951)",-0.7%,36.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Jan/2025," £523,200 "," £2,000 "," £13,208 "," £15,208 ",2.99%,0.00%,,"R$3,326,643","R$12,000","R$83,997","R$95,997",2.97%,0.00%,"R$2,237,179","R$2,259,892",1.00%,2.60%,," £312,165 ","-£211,035 ",-40.3%," £18,186 ",6.2%,20.15%,," R$2,259,892 "," R$22,713 ",1.0%," R$19,673 ",0.9%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Feb/2025," £538,803 "," £2,000 "," £13,603 "," £15,603 ",2.98%,2.98%,,"R$3,425,136","R$12,000","R$86,493","R$98,493",2.96%,2.96%,"R$2,271,551","R$2,266,769",1.00%,2.60%,," £303,768 ","-£235,035 ",-43.6%,"-£8,397 ",-2.7%,16.92%,," R$2,266,769 "," R$(4,782)",-0.2%," R$6,877 ",0.3%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Mar/2025," £554,812 "," £2,000 "," £14,009 "," £16,009 ",2.97%,6.04%,,"R$3,526,189","R$12,000","R$89,054","R$101,054",2.95%,6.00%,"R$2,306,266","R$2,240,632",1.00%,2.60%,," £304,747 ","-£250,065 ",-45.1%, £979 ,0.3%,17.30%,," R$2,240,632 "," R$(65,634)",-2.8%," R$(26,136)",-1.2%,-0.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Apr/2025," £571,237 "," £2,000 "," £14,425 "," £16,425 ",2.96%,9.18%,,"R$3,629,870","R$12,000","R$91,681","R$103,681",2.94%,9.12%,"R$2,341,329","R$2,316,398",1.00%,2.60%,," £307,457 ","-£263,781 ",-46.2%," £2,709 ",0.9%,18.34%,," R$2,316,398 "," R$(24,931)",-1.1%," R$75,765 ",3.4%,2.5%,,,,,,,,,,,,,,,,,,,,,,,,
,May/2025," £588,089 "," £2,000 "," £14,852 "," £16,852 ",2.95%,12.40%,,"R$3,736,247","R$12,000","R$94,377","R$106,377",2.93%,12.31%,"R$2,376,742","R$2,394,293",1.00%,2.60%,," £313,543 ","-£274,546 ",-46.7%," £6,086 ",2.0%,20.68%,," R$2,394,293 "," R$17,550 ",0.7%," R$77,895 ",3.4%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Jun/2025," £605,380 "," £2,000 "," £15,290 "," £17,290 ",2.94%,15.71%,,"R$3,845,389","R$12,000","R$97,142","R$109,142",2.92%,15.59%,"R$2,412,510","R$2,389,552",1.00%,2.60%,," £319,534 ","-£285,846 ",-47.2%," £5,991 ",1.9%,22.99%,," R$2,389,552 "," R$(22,957)",-1.0%," R$(4,740)",-0.2%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,
